Số TT,Mã MH,Tên MH (Tiếng Việt),Tên MH (Tiếng Anh),Còn mở lớp,Đơn vị quản lý chuyên môn,Loại MH,Mã cũ,Mã môn học tương đương,Mã môn học tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
762,PH002,Nhập môn mạch số,Introduction to digital circuit,,KTMT,ĐC,,CE102NT102,,,3,1
763,PH003,Vật lý kỹ thuật,Technical physics,,BMTL,ĐC,,PHY02PH002,,,4,0
764,PHIL1,Những NLCB của chủ nghĩa Mác-Lênin,Fundamental Principles of Marxism-Leninism,,BMAV,ĐC,,SS001,,,5,0
765,PHIL2,Triết học Mác-Lênin,Marxist-Leninist philosophy,,P.ĐTĐH,ĐC,,,,,5,0
766,PHY01,Vật lý đại cương A1,General physics A1,,BMTL,ĐC,,PH001,,,3,0
767,PHY02,Vật lý đại cương A2,General physics A2,,BMTL,ĐC,,PH002,,,3,0
768,PHY03,Vật lý đại cương A3,General physics A3,,BMTL,ĐC,,,,,2,0
769,PHY11,General Physics 1,General Physics 1,,BMTL,ĐC,,,,,4,0
770,PHY12,General Physics 2,General Physics 2,,BMTL,ĐC,,,,,4,0
771,PHY22,Vật lý đại cương A2 (TE1),General physics A2,,BMTL,ĐC,,,,,4,0
772,PHYS1114,Vật lý đại cương I,General physics 1,,HTTT,ĐC,,PHYS1215,,,4,0
773,PHYS1214,Vật lý đại cương II,General physics 2,,HTTT,ĐC,PHY12,PHYS1215,,PHYS1114,4,0
774,PHYS1215,Vật lý đại cương,General Physics,,HTTT,ĐC,,,,,3,0
775,QTE111,Văn hóa giao tiếp,Intercultural Communication,,PĐTĐH,CN,,,,,2,0
776,SC203,Phương pháp khoa học,Scientific research methodology,,HTTT,CNTC,,,,,3,0
777,SE005,Giới thiệu ngành Kỹ thuật Phần mềm,Introduction to Software Engineering,,CNPM,ĐC,,CS005IE005IS005CE005NT005NT015EC005DS005AI001,,,1,0
778,SE100,Phương pháp Phát triển phần mềm hướng đối tượng,Object-oriented software development methodology,,CNPM,CSN,,,,SE104IT008,3,1
779,SE101,Phương pháp mô hình hóa,Modeling methods,,CNPM,CSN,,,,IT001IT002IT003,3,0
780,SE102,Nhập môn phát triển game,Introduction to game development,,CNPM,CSN,,,,IT001,2,1
781,SE103,Các phương pháp lập trình,Programming Paradigms,,CNPM,CN,,SE334,,,2,1
782,SE104,Nhập môn Công nghệ phần mềm,Software engineering,,CNPM,CSN,,,,IT002IT004,3,1
783,SE105,Lập trình nhúng căn bản,Embedded-system Programming,,CNPM,CN,,CE211,,,2,1
784,SE106,Đặc tả hình thức,Formal specification,,CNPM,CSN,,,,IT001IT003SE104IT002,4,0
785,SE107,Phân tích thiết kế hệ thống,System analysis and design,,CNPM,CN,SE207,IS201,,IT002IT004SE104,3,1
